ags,43270974,9744,-187,1269,-43,-41,31
ags,43270975,9705,-160,1181,-36,-29,37
ags,43270976,9656,-133,1216,-36,-41,37
ags,43270977,9627,-138,1272,-36,-54,37
ags,43270978,9622,-175,1294,-49,-54,37
ags,43270979,9683,-182,1264,-55,-47,25
ags,43270980,9717,-177,1303,-43,-54,31
ags,43270981,9683,-153,1318,-36,-54,43
ags,43270982,9634,-175,1228,-24,-41,31
ags,43270983,9651,-199,1203,-18,-41,25
ags,43270984,9727,-180,1259,-24,-41,31
ags,43270985,9702,-138,1252,-30,-35,31
ags,43270986,9661,-150,1289,-18,-54,25
ags,43270987,9692,-141,1262,-12,-66,31
ags,43270988,9717,-172,1225,-18,-66,37
ags,43270989,9707,-197,1172,-24,-60,43
ags,43270990,9732,-141,1237,-30,-54,31
ags,43270991,9707,-114,1262,-30,-54,37
ags,43270992,9751,-180,1228,-36,-47,49
ags,43270993,9749,-214,1167,-30,-66,37
ags,43270994,9761,-219,1120,-6,-72,13
ags,43270995,9727,-126,1220,-12,-66,19
ags,43270996,9766,-143,1213,-36,-66,19
ags,43270997,9668,-167,1245,-43,-66,25
ags,43270998,9656,-172,1279,-30,-54,25
ags,43270999,9692,-119,1313,-36,-41,31
ags,43271000,9653,-172,1235,-43,-60,31
ags,43271001,9692,-211,1172,-30,-72,37
ags,43271002,9641,-214,1223,-30,-66,31
ags,43271003,9609,-155,1338,-43,-47,31
ags,43271004,9675,-80,1208,-49,-47,37
ags,43271005,9707,-146,1145,-36,-47,43
ags,43271006,9663,-165,1203,-36,-41,43
ags,43271007,9651,-136,1194,-36,-47,37
ags,43271008,9702,-170,1223,-24,-47,31
ags,43271009,9678,-192,1255,-36,-60,31
ags,43271010,9644,-141,1203,-49,-41,49
ags,43271011,9685,-111,1228,-43,-29,43
ags,43271012,9722,-97,1235,-30,-29,31
ags,43271013,9700,-116,1262,-24,-41,31
ags,43271014,9692,-155,1242,-30,-47,37
ags,43271015,9697,-126,1267,-30,-47,61
ags,43271016,9722,-150,1286,-36,-35,55
ags,43271017,9690,-158,1252,-43,-41,49
ags,43271018,9658,-187,1108,-24,-41,61
ags,43271019,9646,-199,1172,-18,-29,61
ags,43271020,9685,-109,1230,-30,-17,49
ags,43271021,9649,-92,1181,-36,-29,43
ags,43271022,9656,-128,1220,-30,-35,43
ags,43271023,9710,-194,1181,-18,-54,49
ags,43271024,9736,-165,1235,-30,-35,43
ags,43271025,9695,-155,1189,-24,-17,43
ags,43271026,9712,-104,1218,-12,-11,43
ags,43271027,9688,-94,1225,-6,-23,49
ags,43271028,9646,-170,1181,-18,-29,43
ags,43271029,9605,-104,1186,-36,-29,43
ags,43271030,9690,-82,1130,-43,-35,55
ags,43271031,9663,-58,1220,-30,-23,43
ags,43271032,9666,-63,1211,-30,-23,43
ags,43271033,9722,-150,1167,-12,-23,43
ags,43271034,9736,-133,1181,-18,-11,43
ags,43271035,9707,-45,1213,-43,-17,49
ags,43271036,9717,-141,1142,-55,-23,55
ags,43271037,9668,-165,1130,-55,-17,49
ags,43271038,9658,-121,1262,-43,-5,43
ags,43271039,9612,-150,1228,-30,7,43
ags,43271040,9619,-170,1189,-30,-5,43
ags,43271041,9644,-148,1228,-49,-29,55
ags,43271042,9646,-167,1181,-61,-23,49
ags,43271043,9629,-189,1096,-55,-17,43
ags,43271044,9644,-160,1220,-43,-11,43
ags,43271045,9646,-146,1218,-36,-11,49
ags,43271046,9619,-124,1255,-30,1,37
ags,43271047,9649,-75,1240,-24,-5,37
ags,43271048,9727,-92,1198,-18,-29,37
ags,43271049,9688,-136,1164,-18,-47,43
ags,43271050,9661,-106,1218,-18,-41,49
ags,43271051,9688,-116,1269,-18,-35,49
ags,43271052,9736,-119,1245,-18,-29,43
ags,43271053,9797,-133,1196,-18,-35,55
ags,43271054,9761,-177,1208,-18,-23,37
ags,43271055,9692,-160,1186,-12,-35,31
ags,43271056,9736,-109,1130,-18,-47,31
ags,43271057,9736,-160,1252,-12,-60,31
ags,43271058,9714,-126,1225,6,-54,49
ags,43271059,9690,-167,1237,6,-54,73
ags,43271060,9653,-209,1228,-6,-35,67
ags,43271061,9661,-180,1277,-6,-35,49
ags,43271062,9700,-209,1228,0,-41,43
ags,43271063,9649,-133,1103,-12,-47,43
ags,43271064,9644,-172,1140,-12,-47,43
ags,43271065,9673,-160,1106,6,-60,43
ags,43271066,9636,-172,1220,12,-72,43
ags,43271067,9656,-148,1228,0,-66,37
ags,43271068,9644,-158,1159,-12,-54,37
ags,43271069,9661,-158,1225,0,-54,43
ags,43271070,9719,-199,1186,6,-66,61
ags,43271071,9700,-111,1169,6,-47,49
ags,43271072,9722,-94,1179,6,-47,43
ags,43271073,9712,-111,1167,0,-54,37
ags,43271074,9670,-148,1201,-12,-47,37
